Gene ID	Symbol	Gene name	Gene type	Scientific name	Transcripts	Query
100503670	Rpl5	ribosomal protein L5	protein-coding	Mus musculus	NM_016980.2,XM_006534684.4	Rpl5
110954	Rpl10	ribosomal protein L10	protein-coding	Mus musculus	NM_052835.3	Rpl10
114641	Rpl31	ribosomal protein L31	protein-coding	Mus musculus	NM_001252218.1,NM_001252219.1,NM_053257.3	Rpl31
11837	Rplp0	ribosomal protein, large, P0	protein-coding	Mus musculus	NM_007475.5	Rplp0
14109	Fau	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived)	protein-coding	Mus musculus	NM_001160239.3,NM_001190436.2,NM_007990.4	Fau
16785	Rpsa	ribosomal protein SA	protein-coding	Mus musculus	NM_011029.4	Rpsa
16898	Rps2	ribosomal protein S2	protein-coding	Mus musculus	NM_008503.5	Rps2
19896	Rpl10a	ribosomal protein L10A	protein-coding	Mus musculus	NM_001357628.1,NM_011287.2	Rpl10a
19899	Rpl18	ribosomal protein L18	protein-coding	Mus musculus	NM_009077.2,XM_017322049.3,XM_030242247.1	Rpl18
19921	Rpl19	ribosomal protein L19	protein-coding	Mus musculus	NM_001159483.1,NM_009078.2,XM_006532610.4,XM_030245705.1,XM_036156460.1,XM_036156461.1	Rpl19
19933	Rpl21	ribosomal protein L21	protein-coding	Mus musculus	NM_019647.6	Rpl21
19934	Rpl22	ribosomal protein L22	protein-coding	Mus musculus	NM_001277113.1,NM_001277114.1,NM_009079.3,NR_102291.1,NR_102292.1	Rpl22
19941	Rpl26	ribosomal protein L26	protein-coding	Mus musculus	NM_009080.2	Rpl26
19942	Rpl27	ribosomal protein L27	protein-coding	Mus musculus	NM_011289.3	Rpl27
19943	Rpl28	ribosomal protein L28	protein-coding	Mus musculus	NM_009081.2	Rpl28
19944	Rpl29	ribosomal protein L29	protein-coding	Mus musculus	NM_001324533.1,NM_001324534.1,NM_009082.3,XM_006511660.5	Rpl29
19946	Rpl30	ribosomal protein L30	protein-coding	Mus musculus	NM_001163485.1,NM_009083.4	Rpl30
19951	Rpl32	ribosomal protein L32	protein-coding	Mus musculus	NM_172086.2	Rpl32
19981	Rpl37a	ribosomal protein L37a	protein-coding	Mus musculus	NM_009084.4	Rpl37a
19982	Rpl36a	ribosomal protein L36A	protein-coding	Mus musculus	NM_019865.5	Rpl44
19988	Rpl6	ribosomal protein L6	protein-coding	Mus musculus	NM_011290.5,XM_006530227.2	Rpl6
19989	Rpl7	ribosomal protein L7	protein-coding	Mus musculus	NM_011291.5	Rpl7
20005	Rpl9	ribosomal protein L9	protein-coding	Mus musculus	NM_011292.2	Rpl9
20042	Rps12	ribosomal protein S12	protein-coding	Mus musculus	NM_011295.6,XM_030244962.1,XR_003948630.1	Rps12
20044	Rps14	ribosomal protein S14	protein-coding	Mus musculus	NM_020600.4	Rps14